GeneSymbol,proB_CLP_BM,proB_FrA_BM,proB_FrBC_BM,preB_FrC_BM,preB_FrD_BM,B_FrE_BM,B_FrF_BM,B_Fo_Sp,preT_ETP_Th,preT_DN2_Th,preT_DN3A_Th,preT_DN3B_Th,T_DN4_Th,T_DP_Th,T_4SP24._Th,T_8SP24._Th,T_4Nve_Sp,T_8Nve_Sp
GM10267,6.29514,6.68989,6.99514,6.61363,8.90818,6.9795,6.20265,6.27225,6.52566,6.86567,6.75348,6.62721,6.76638,10.1162,6.71719,6.53169,6.4461,8.43557
9530002K18RIK,11.0241,12.8525,12.6506,10.1363,14.821,12.489,11.6558,12.02,12.326,12.3664,11.7508,11.9548,12.4414,13.7642,12.5681,12.3,12.9915,14.116
SPINK11,8.83298,8.75531,11.1156,10.1112,10.701,9.50476,8.94537,8.15058,10.2787,8.69132,9.67204,9.78667,9.49136,11.3027,9.15868,8.44134,9.66267,9.15328
MCC,58.9067,75.9071,60.4852,65.2076,75.4153,79.5676,80.8149,72.3537,63.3666,63.8031,70.1822,68.1131,72.6739,94.5359,67.6872,65.5815,70.6982,81.4085
TRIM36,45.0477,43.3092,58.2871,54.4413,87.5311,134.001,69.8036,72.0884,46.064,44.4257,34.7993,40.1723,37.8515,49.194,48.2854,42.2419,47.3516,47.9919
PGGT1B,141.77,165.947,132.652,159.621,119.442,132.873,135.098,162.651,126.809,114.738,116.781,117.374,117.108,146.747,108.134,87.623,115.403,106.832
CCDC112,62.1209,59.123,48.7477,49.4919,45.0491,50.6596,65.0131,77.7963,72.1354,68.0585,40.504,44.3404,45.2501,57.0576,53.0853,43.7869,44.8771,52.9512
MOSPD4,64.3668,84.9656,67.5733,56.5688,63.7426,78.3324,77.0825,59.4091,61.7666,73.8702,71.4889,69.6394,65.7873,109.918,71.0109,68.6997,72.6774,87.7977
FEM1C,539.716,423.487,521.128,487.34,473.617,377.994,465.407,566.168,932.705,675.767,554.961,529.374,552.497,391.072,429.397,405.612,523.468,300.316
TICAM2,194.689,183.65,131.706,114.276,94.1231,134.378,100.269,87.2441,184.04,156.546,105.283,106.4,116.946,85.2339,75.3409,80.0636,60.8126,101.028
TMED7,1263.4,1130.92,1338.17,1177.39,1280.51,1322.33,1225.63,1289.29,1405.59,1501.87,1618.24,1304.72,1446.79,1301.95,1359.98,1230.47,1328.55,1060.31
CDO1,41.8892,50.4352,45.1505,49.8671,73.4157,52.0504,58.0381,63.7848,43.0995,45.617,49.7733,50.8836,67.0272,78.3958,57.5871,53.4161,77.8256,58.2297
ATG12,191.326,170.754,192.072,149.504,220.546,199.014,199.061,200.493,214.513,197.719,303.851,191.96,270.176,278.223,203.546,201.109,234.304,188.331
SEMA6A,39.8407,48.0647,46.5854,38.496,44.8748,45.8148,47.4917,36.619,44.3513,43.5552,44.6197,40.2386,48.0532,63.6959,42.6639,48.8169,41.8007,70.6068
