"Genes","Curated_pathway","Database_ID","Database_pathway_name"
"UBE2U","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"UBE2Z","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"UBA7","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"VHL","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"UBA1","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"PIAS4","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"AIRE","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"FBXO4","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"CBLC","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"UBE2A","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"CDC27","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"HUWE1","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"UBE2B","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"CDC34","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"UBE2D1","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"UBA3","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"UBE2E1","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"UBE2E2","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"UBE2D2","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"CDC20","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"UBE2D3","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"ITCH","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"UBE2Q1","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"ANAPC10","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"RCHY1","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"UBE2W","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"WWP1","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"PPIL2","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"TCEB1","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"UBE3C","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"UBE2J1","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"ANAPC11","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"TCEB2","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"SAE1","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"UBA2","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"RHOBTB2","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"CUL5","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"KEAP1","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"SYVN1","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"PARK2","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"SKP2","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"PIAS2","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"CUL7","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"CUL1","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"FBXW7","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"CUL2","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"CUL3","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"UBE3B","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
